Prefix1;np-s;np-p;pp1-s;pp1-p;Conj1sg;Conj1pl;pp2-s;pp2-p;Conj2sg;Conj2pl;P3sg;P3pl;Conj3sg;Conj3pl;ROC;vp-s;vp-p;.
Jean suppose que;L’ ordinateur ;Les ordinateurs;avec le programme;avec les programmes;et le programme;et les programmes;de l’ expérience;des expériences;et l’ expérience;et les expériences;de l’adulte;des adultes;et l’adulte;et les adultes;dont Jean se servait;est en panne;sont en panne;.
Le gouvernement a affirmé que ;L’ exposition ;Les expositions ;avec la peinture ;avec les peintures ;et la peinture ;et les peintures ;de l’ enfant;des enfants;et l’ enfant;et les enfants;de la crèche;des crèches;et la crèche;et les crèches;dont le gouvernement n’ a pas fait de rapport;a rencontré un grand succès;ont rencontré un grand succès;.
Marie dit que;Le trousseau ;Les trousseaux;avec la clé;avec les clés;et la clé;et les clés;de la cellule;des cellules;et la cellule;et les cellules;du prisonnier;des prisonniers;et le prisonnier;et les prisonniers;dont Marie se sert;repose sur l’étagère;reposent sur l’étagère;.
L’ éditeur a trouvé que;Le livre ;Les livres ;sur la privatisation;sur les privatisations;et la privatisation;et les privatisations;de l’ entreprise;des entreprises;et l’ entreprise;et les entreprises;dans la ville;dans les villes;et la ville;et les villes;dont l’ éditeur est fier;a enthousiasmé l’auditoire;ont enthousiasmé l’auditoire;.
L’ organizateur m’ a informé que;La conférence ;Les conférences ;sur l’ histoire ;sur les histoires ;et l’histoire ;et les histoires ;de la guerre;des guerres;et la guerre;et les guerres;de succession;des successions;et le succession;et les successions;dont l’ organizateur m’ a parlé;a commencé plus tard que prévu;ont commencé plus tard que prévu;.
L’ auteur croit que;L’ étude ;Les études ;sur l’ effet;sur les effet;et l’ effet;et les effets;de la drogue;des drogues;et la drogue;et les drogues;de la région;des régions;et la région;et les régions;que l’ auteur finance;apparaîtra bientôt;apparaîtront bientôt;.
L’ article a rapporté que;La théorie ;Les théories ;sur le chant;sur les chants;et le chant;et les chants;du canari;des canaris;et le canari;et les canaris;de la montagne;des montagnes;et la montagne;et les montagnes;dont l’ article parle;divise les chercheurs;divisent les chercheurs;.
Ma voisine a raconté que;L’ inscription ;Les inscriptions ;sur la porte  ;sur les portes  ;et la porte  ;et les portes  ;de la chambre;des chambres;et  la chambre;et les chambres;de la fille;des filles;et la fille;et les filles;que ma voisine appréciait;a énervé sa mère;ont énervé sa mère;.
Le journal a mentionné que;Le dépliant ;Les dépliants ;sur l’ enjeu ;sur les enjeux ;et l’ enjeu ;et les enjeux;de la communauté;des communautés;et la communauté;et les communautés;de la campagne;des campagnes;et la campagne;et les campagnes;que le journal mentionnait;a beaucoup intéressé;ont beaucoup intéressé;.
Ma cousine m’ a dit que;La ligne ;Les lignes ;sur le bord;sur les bords;et le bord;et les bords;de la route;des routes;et la route;et les routes;de la région;des régions;et la région;et les régions;que ma cousine remarquait;a disparu;ont disparu;.
Julie a réalisé que;La nappe ;Les nappes ;sur la table;sur les tables;et la table;et les tables;du banquet;des banquets;et le banquet;et les banquets;de la grand-mère;des grand-mères;et la grand-mère;et les grand-mères;que la mère nettoyait souvent;brille au soleil;brillent au soleil;.
Le médecin constate que;Le récit ;Les récits ;de la souffrance ;de les souffrances ;et la souffrance ;et les souffrances ;dans l’ hôpital;dans les hôpitaux;et l’ hôpital;et les hôpitaux;du département;des départements;et le département;et les départements;que le médecin écoute;touche les participants;touchent les participants;.
Ma nièce réalise que;La visite ;Les visites ; au palais ; aux palais ;et le palais ;et les palais ;de l’ artisanat;des artisanats;et l’ artisanat;et les artisanats;du milieu rural;des milieux ruraux;et le milieu rural;et les milieux ruraux;dont ma nièce m’ avait parlé;approche;approchent;.
Le président trouve que;La menace ;Les menaces ;de  la réforme ;de  les réformes ;et  la réforme ;et  les réformes ;dans l’ école;dans les écoles;et  l’ école;et les écoles;dans le secteur médical;dans les secteurs médicaux;et le secteur médical;Et les secteurs médicaux;dont le président a parlé;inquiète les médecins;inquiètent les médecins;.
La police a dit que;L’ hélicoptere ;Les hélicopteres ;pour  le vol ;pour les vols ;et le vol ;et les vols;au-dessus du canyon;au-dessus des canyon;et le canyon;et des canyon;dans la réserve indienne;dans les réserves indiennes;et la réserve indienne;et les réserves indiennes;que la police cherche;s’ écrase;s’écrasent;.
Mon ami a remarqué que;La soirée ;Les soirées ;dans  l’ appartement ;dans  les appartements;et  l’ appartement ;et  les appartements ;du sous-sol;des sous-sols;et le sous-sol;et les sous-sols;de ma fille;de mes filles;et ma fille;et mes filles;dont mon ami m’ avait informé ;a gêné les voisins;ont gêné les voisins;.
Les spectateurs ont appris que;Le producteur ;Les producteurs ; du film; des films;et le film;et les films;sur l’ artiste;sur les artistes;et l’ artiste;et les artistes;du centre-ville;des centre-ville;et le centre-ville;et les centre-ville;que les spectateurs admirent;a gagné la palme d’or;ont gagné la palme d’or;.
Mes enfants m’ ont dit que;Le chat ;Les chats ;sur le toit;sur les toits;et  le toit;et  les toits;du voisin;des voisins;et le voisin;et les voisins;de mon frère;de mes frères;et mon frère;et mes frères;dont mes enfants ont rêvé;miaule depuis hier soir;miaulent depuis hier soir;.
Mes parents  remarquent que;Le chien ;Les chiens ;sur le coussin ;sur les coussins ;et le coussin ;et les coussins ;du bébé;des bébés;et le bébé;et les bébés;de ma cousine;de mes cousines;et ma cousine;et mes cousines;que mes parents  observaient;s’ endormait;s’endormaient;.
Les collègues ont vu que;Le gréviste ;Les grévistes ;sur l’ escalier;sur les escaliers;et l’ escalier;et les escaliers;du patron;des patrons;et le patron;et les patrons;de l’ entreprise;des entreprises;et l’ entreprise;et les entreprises;dont les collègues s’ inquiétaient;bloquait la porte;bloquaient la porte;.
Les administrateurs ont constaté que;L’ architecte ;Les architectes ; du château ; des châteaux ;et le château ;et les châteaux ;du millionnaire;des millionnaires;et le millionnaire;et les millionnaires;dans l’ île;dans les îles;et l’ île;et les îles;que les administrateurs connaissaient;a perdu les plans;ont perdu les plans;.
Les journalistes ont rapporté que;La victime ;Les victimes ; du mensonge ; des mensonges ;et le mensonge ;et les mensonges ;du policier;des policiers;et le policier;et les policiers;du commissariat ;des commissariats;et le commissariat ;et les commissariats;dont les journalistes témoignaient;a porté plainte;ont porté plainte;.
Les villageois ont trouvé que;Le voleur ;Les voleurs ; de la voiture ; des voitures ;et  la voiture ;et  les voitures ;du garagiste;des garagistes;et le garagiste;et les garagistes;dans la banlieue;dans les banlieues;et la banlieue;et les banlieues;que les villageois recherchaient;a fait une embardée;ont fait une embardée;.
Les étudiants apprennent que;Le responsable ;Les responsables ; du droit;  des droits;et le droit;et les droits;de l’ immigré;des immigrés;et l’ immigré;et les immigrés;du port;des ports;et le port;et les ports;que les étudiants connaissent;va démissionner;vont démissionner;.
Les enfants disent que;Le gamin ;Les gamins ; du clochard; des clochards;et le clochard;et les clochards;près de la poubelle;près des poubelles;et de la poubelle;et des poubelles;du voisin;des voisins;et le voisin;et les voisins;que les enfants regardent;pleure;pleurent;.
Les procureurs pensent que;L’ avocat ;Les avocats ; de l’ assassin ; des assassins ;et l’ assassin ;et les assassins ;du village;des villages;et le village;et les villages;près du lac;près des lacs;et le lac;et les lacs;que les procureurs attendent;va revenir;vont revenir;.
Les éleveurs ont dit que;Le cochon ;Les cochons ; du laboureur ; des laboureurs ;et le laboureur ;et les laboureurs ;du champs;des champs;et le champs;et les champs;de la ville;des villes;et la ville;et les villes;que les éleveurs observaient;se vautrait dans la mare;se vautraient dans la mare;.
Mes cousins observent que;La copine ;Les copines ; du propriétaire; des propriétaires;et le propriétaire;et les propriétaires;de la villa;des villas;et la villa;et les villas;de mon ami;de mes amis;et mon ami;et les amis;que mes cousins adoraient;dormait sur la plage;dormaient sur la plage;.
Les voisins trouvent que;L’ accompagnatrice ;Les accompagnatrices ; du musicien ; des musiciens ;et le musicien ;et les musiciens ;de la rue;des rues;et la rue;et les rues;de l’épicerie;des épiceries;et l’ épicerie;et les épiceries;que les voisins apprécient;jouait merveilleusement;jouaient merveilleusement;.
Mes amis disent que;Le professeur ;Les professeurs ;de mon cousin ;de mes cousins ;et mon cousin ;et mes cousins ;sur la photo;sur les photos;et la photo;et les photos;en-dessous de l’étagère;en-dessous des étagères;et l’ étagère;et les étagères;que mes amis connaissent;ressemble à une star;ressemblent à une star;.
Les collègues savent que;L’ entraîneur ;Les entraîneurs ; du vainqueur; des vainqueurs;et le vainqueur;et les vainqueurs;du match;des matchs;et le match;et les matchs;à élimination directe;à éliminations directes;et l’ élimination directe;et les éliminations directes;que les collègues préfèrent;va recevoir une grosse récompense;vont recevoir une grosse récompense;.
Les voisins espèrent que;Le possesseur ;Les possesseurs ; du perroquet; des perroquets;et le perroquet;et les perroquets;dans l’ arbre;dans les arbres;et l’ arbre;Et les arbres;du jardin;des jardins;et le jardin;et les jardins;que les voisins apprécient;va venir;vont venir;.
